uid,follower_uid
00c419bafe91,c59434dd19ff
00c419bafe91,cc1c7992890d
00c419bafe91,d5f2c2c6ad5c
00c419bafe91,e62ccbcfed82
00c795bc7266,5333017f9a54
00c795bc7266,61c7e9142717
00c795bc7266,6e04bd67c0e3
00c795bc7266,7c629a775137
00c795bc7266,7f9332e3a463
00c795bc7266,c5cc7e870c2b
00c795bc7266,cef300f7b0e0
00c795bc7266,e1c7f687b082
00c795bc7266,eab410902c4e
00d83b6995ad,0342501201bf
00d83b6995ad,0fe2d0c760c0
00d83b6995ad,1f257b182525
00d83b6995ad,33d4894ca296
00d83b6995ad,4117646d8a51
00d83b6995ad,5536cae487f0
00d83b6995ad,b4196ae4fa57
00d83b6995ad,bdcb03f23fe0
00d83b6995ad,e845a5a983fc
00d9b2d0449d,89e7f34d0fef
00d9b2d0449d,c39a044bec12
00d9b2d0449d,dc734db859a8
00e0f914badf,6f4dba7242c2
00e0f914badf,7bba9e8893ef
00e0f914badf,7f143b010408
00e0f914badf,97e9ee7266c2
00e0f914badf,a7253cde6398
00e0f914badf,d2f501c04b5d
00e0f914badf,f176096d09f9
00e0f914badf,fc0457bcb8db
00e0f914badf,fe9e5ecae87c
00e272a84349,0881ae1139ba
00e272a84349,203da6291bd9
00e272a84349,51b9e59965d7
00e272a84349,8d379f7e1789
00e272a84349,99c299da820c
00e272a84349,be423fa0db21
00e272a84349,d344332caece
00efd2c5b01a,0a3990add34b
00efd2c5b01a,1028346e1524
00efd2c5b01a,39963a3fad1a
00efd2c5b01a,3b8260c10ba2
00efd2c5b01a,46e8e891cd98
00efd2c5b01a,78dfd07d842e
00efd2c5b01a,8aac89a0d62a
00efd2c5b01a,b7830cef005d
00efd2c5b01a,db13d4d240c4
00f60a4125f8,15d8c48fef7a
00f60a4125f8,5004a36383c2
00f60a4125f8,b14bcf7ec8b7
00f60a4125f8,c1aa00d0b3d4
00f60a4125f8,cdec2699733b
00f60a4125f8,de77f96ae5a9
00f60a4125f8,e37b91b3aad5
00f60a4125f8,f4f9704c3a00
00f60a4125f8,f8e16157771f
00f7916bd0d0,00449e62d301
00f7916bd0d0,386d5e5dff90
00f7916bd0d0,4168fcd310c1
00f7916bd0d0,4212acab820e
00f7916bd0d0,4677cb6bc4a6
00f7916bd0d0,5913eb171dfc
00f7916bd0d0,5c58e19b2ccf
00f7916bd0d0,a03f8e19a119
00f7916bd0d0,d96ead2ba166
01012863ba96,0590bf5bd0fb
01012863ba96,32e962d9ab56
01012863ba96,3cfb15817591
01012863ba96,5fd1649cf049
01012863ba96,88781962c7f2
01012863ba96,8bfceceb348e
01012863ba96,d333aa5f0c79
01012863ba96,f5531036283a
01012863ba96,fb34ad774860
010b8cbd6487,041ed16a2f59
010b8cbd6487,2177b9d14ffa
010b8cbd6487,254546807b2d
010b8cbd6487,75c8849cd56c
010b8cbd6487,828db3e83efb
010b8cbd6487,9.02E+38
010b8cbd6487,95da44dafc89
010b8cbd6487,afad3e92eeee
010b8cbd6487,cc7e58067d4e
011af8829c8e,14bdd2c76e4e
011af8829c8e,2a9cfbc810da
011af8829c8e,327ddb344735
011af8829c8e,95995d281ec4
011af8829c8e,b66fef27bd69
011af8829c8e,d49824504519
011af8829c8e,f38000d514df
0128e2f9cd21,034664f367ef
0128e2f9cd21,1414cb76edbf
0128e2f9cd21,17052d40f2de
0128e2f9cd21,1ab677f4e75c
0128e2f9cd21,3b532d73719f
0128e2f9cd21,8b5be86ef333
0128e2f9cd21,9f09b6fb5217
0128e2f9cd21,bc8620c5b665
0128e2f9cd21,cb4966bc3b4d
014564e78c7e,1906a4d2db87
014564e78c7e,251cdb0cd13b
014564e78c7e,2762e84f552a
014564e78c7e,4986dac62aad
014564e78c7e,51ac6c5910de
014564e78c7e,654de090dbc6
014564e78c7e,9fef5badd14b
014564e78c7e,aaadcdf86f27
014564e78c7e,ee05eb3438ed
015a2d584c8c,53a558545ebf
015a2d584c8c,66c17840b6ff
015a2d584c8c,6784a7d73eb2
015a2d584c8c,778872832d44
015a2d584c8c,9a8c0b0ea12f
015a2d584c8c,aee2464bd115
015a2d584c8c,b74d8f2aa74d
015a2d584c8c,d5655eb5634d
015a2d584c8c,eb6c6e143f78
015aa4fad93c,45cd7a33ce57
015aa4fad93c,f33bbca991f5
015aa4fad93c,f95b9e3d234b
015d73e6e75b,283e41267df9
015d73e6e75b,337eaaaffa52
015d73e6e75b,3ac3cb2fd5b1
015d73e6e75b,5bfb91044df6
015d73e6e75b,6d9bab2f23b9
015d73e6e75b,7f86487a88e0
015d73e6e75b,bb3170d9a3d4
015d73e6e75b,e9b77d63d878
015d73e6e75b,f7429458cf60
0161da41f666,1593d19a62c5
0161da41f666,34c11f0c2dda
0161da41f666,900c2715f7d1
0161da41f666,cb90fd39aa5a
0161da41f666,cbeaa8d0dac8
0161da41f666,d01ec759ed9a
0161da41f666,ec1fbf1652e3
0161da41f666,f62e914030a5
0161da41f666,fea7149ce360
016b9f41241c,03836ef71e51
016b9f41241c,86556a9bb87e
016b9f41241c,ebf016acefd0
016c3369f0af,390ce7746586
016c3369f0af,3aa1ea4ae9b5
016c3369f0af,4efa6be25650
016c3369f0af,53ffb5daac86
016c3369f0af,7767c2bf7ac5
016c3369f0af,7a8e59384d24
